gvkey,Name,sector_name,carbon_major,date,case,country,region,novel,courtlaw,govplaintiff,interest,damages,major_changes,novel_weight,courtlaw_weight,govplaintiff_weight,interest_weight,damages_weight,major_weight,profile_sum,,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,,name,country,region,gic_sector,Total # filings,,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,,,,,,,,,,,,,,,,,,,,,,
011259,Walmart Inc,Consumer Staples,0,3/9/2012,California Health Communities Network v. City of Porterville No. F067685,US,North America,No,Yes,No,No,No,No,0,3,0,0,0,0,3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Boeing,US,North America,20,0,Remove - no filing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,20,,AIG,2021-12-31,2022-02-17,,,,
222139,Flughafen Wien,Industrials,0,12/30/2013,In re Vienna-Schwechat Airport Expansion,Austria,Europe,Yes,Yes,No,No,No,No,2,3,0,0,0,0,5,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,BP,UK,Europe,10,26,,0,0,0,0,1,0,0,0,0,0,0,1,0,3,6,1,5,3,1,3,,,,,,,,,,,,,,,21,,AIG,2022-12-31,2023-02-17,,,,
163935,Global Partners,Energy,0,7/2/2014,"Northwest Environmental Defense Center v. Cascade Kelly Holdings LLC, d/b/a Columbia Pacific Biorefinery, No. 3:14-cv-01059 (D. Or. Dec. 30, 2015)",US,North America,No,Yes,No,No,No,No,0,3,0,0,0,0,3,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Brookfield Renewable Partners,Canada,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,22,,AIG,2023-12-31,2024-02-14,TRUE,,,
029028,Costco Wholesale Corp,Consumer Staples,0,9/3/2014,United States v. Costco Wholesale Corp. No. 3:14-cv-03989,US,North America,No,Yes,Yes,No,Yes,No,0,3,1,0,3,0,7,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Campbell Soup Company,US,North America,30,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,23,,"Allbirds, Inc",2021-12-31,2022-03-16,,,,
023978,US Steel,Materials,0,3/25/2015,"Nucor Steel-Arkansas v. Big River Steel, LLC, No. 15-1615 (8th Cir. June 8, 2016)",US,North America,No,Yes,No,No,Yes,No,0,3,0,0,3,0,6,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Carnival PLC,UK,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,24,,"Allbirds, Inc",2022-12-31,2023-03-10,,,,
014793,Arch Resources,Energy,1,6/9/2015,"Roe v. Arch Coal, Inc.",US,North America,,No,Yes,No,Yes,Yes,0,0,1,0,3,3,7,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Chevron,US,North America,10,25,,0,0,0,0,1,0,0,1,0,0,0,1,0,3,6,0,6,2,0,3,,,,,,,,,,,,,,,25,,"Allbirds, Inc",2023-12-31,2024-03-13,,,,
014793,Arch Resources,Energy,1,6/11/2015,Lynn v. Peabody Energy Corp.,US,North America,No,Yes,No ,Yes,Yes,No,0,3,0,2,3,0,8,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Chrysler Motor Co (DaimlerChrysler),US,North America,25,0,Remove - no filing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,26,,Alon USA,2005-12-31,2006-03-15,,,,
001380,Hess Corp,Energy,1,9/22/2015,"In re Greenpeace Southeast Asia et al., 2015-__ (Commission on Human Rights of the Philippines, 2015)",US ,North America,Yes,No,No,No,No,Yes,2,0,0,0,0,3,5,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Citigroup Inc,US ,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,27,,Alon USA,2006-12-31,2007-03-15,,,,
001678,APA Corp,Energy,0,9/22/2015,"In re Greenpeace Southeast Asia et al., 2015-__ (Commission on Human Rights of the Philippines, 2015)",US,North America,Yes,No,No,No,No,Yes,2,0,0,0,0,3,5,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,CNX Resources,US,North America,10,5,"Was with CONSOL until 2017, when they split",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,,,,,,,,,,,,,,,28,,Alon USA,2007-12-31,2008-03-11,,,,
002410,BP,Energy,1,9/22/2015,"In re Greenpeace Southeast Asia et al., 2015-__ (Commission on Human Rights of the Philippines, 2015)",UK,Europe,Yes,No,No,No,No,Yes,2,0,0,0,0,3,5,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,Colgate-Palmolive Co,US,North America,30,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,29,,Alon USA,2008-12-31,2009-03-17,,,,
