gvkey,Name,sector_name,carbon_major,date,case,impact,country,region,Positive or negative,Column1,Column2
023978,US Steel,Materials,0,6/8/2016,"Nucor Steel-Arkansas v. Big River Steel, LLC, No. 15-1615 (8th Cir. June 8, 2016)",3,US,North America,,,US Steel
004503,ExxonMobil,Energy,1,12/10/2019,People of the State of New York v. Exxon Mobil Corporation,3,US,North America,,,ExxonMobil
008272,Sempra Energy,Utilities,0,9/13/2016,People v. Southern California Gas Co.,-3,US,North America,,,Sempra Energy
009846,Edison International,Utilities,0,12/6/2021,Public Watchdogs v. Southern California Edison Co.,3,US,North America,,,Edison International
004503,ExxonMobil,Energy,1,8/14/2018,Ramirez v. Exxon Mobil Corp.,-3,US,North America,,,ExxonMobil
004503,ExxonMobil,Energy,1,3/31/2022,Ramirez v. Exxon Mobil Corp.,-3,US,North America,,,ExxonMobil
010795,United Airlines Holdings Inc,Industrials,0,3/18/2013,Sao Paulo Public Prosecutor's Office v. United Airlines and Others,3,US,North America,,,United Airlines Holdings Inc
003851,Delta Air Lines,Industrials,0,3/18/2013,Sao Paulo Public Prosecutor's Office v. United Airlines and Others,3,US,North America,,,Delta Air Lines
010795,United Airlines Holdings Inc,Industrials,0,10/18/2016,Sao Paulo Public Prosecutor's Office v. United Airlines and Others,3,US,North America,,,United Airlines Holdings Inc
003851,Delta Air Lines,Industrials,0,10/18/2016,Sao Paulo Public Prosecutor's Office v. United Airlines and Others,3,US,North America,,,Delta Air Lines
004093,Duke Energy,Utilities,0,11/24/2010,Sierra Club v. Duke Energy Indiana ,3,US,North America,,,Duke Energy
008001,NorthWestern Corp,Utilities,0,2/25/2020,Tosdal v. NorthWestern Corp.,3,US,North America,,,NorthWestern Corp
014793,Arch Resources,Energy,1,1/18/2022,WildEarth Guardians v. Mountain Coal Co.,-3,US,North America,,,Arch Resources
008001,NorthWestern Corp,Utilities,0,2/14/2012,Williamson v. Montana Public Service Commission,-3,US,North America,,,NorthWestern Corp
004503,ExxonMobil,Energy,1,12/10/2019,New York Attorney General case (dismissed),3,US,North America,,,ExxonMobil
,The AES Corporation,,,2/5/2010,Steadfast Ins. Co. v. The AES Corp.,,,,Negative,Why are there three decisions?,
